#----------------------------------------------------------------------
# Data file: flights.dat
#----------------------------------------------------------------------

param nFlights := 35;
set NODES := 
START
 1  2  3  4  5  6  7  8  9 10 
11 12 13 14 15 16 17 18 19 20
21 22 23 24 25 26 27 28 29 30 
31 32 33 34 35     5+29  7+30  
 8+31 15+32 16+24 18+33 26+23
END
;



param : 
ARCS:			orgArcCost := 
set FLIGHTS_IN_NODE[33]    := 33;
set FLIGHTS_IN_NODE[34]    := 34;
set FLIGHTS_IN_NODE[35]    := 35;
set FLIGHTS_IN_NODE[ 5+29] :=  5 29;
set FLIGHTS_IN_NODE[ 7+30] :=  7 30;
set FLIGHTS_IN_NODE[ 8+31] :=  8 31;
set FLIGHTS_IN_NODE[15+32] := 15 32;
set FLIGHTS_IN_NODE[16+24] := 16 24;
set FLIGHTS_IN_NODE[18+33] := 18 33;
set FLIGHTS_IN_NODE[26+23] := 26 23;
set FLIGHTS_IN_NODE[END]   :=  ;

